link,brand,warranty,processor,ram,hardDrive,grapCard,capGrapCard,opSystem,screenSize,price,ram_GB,hardDrive_GB,OS
https://www.exito.com/computador-asus-vivobook-intel-core-i5-12500h-8-gb-512-gb-ssd-x1403za-km116w-3078718/p,ASUS,12,Intel Core i5-12500H,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,3199360,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-pavilion-intel-core-i5-1135g7-8-gb-256-gb-ssd-15-eg0500la-3094735/p,HP,12,Intel Core i5-1135G7,8 GB,256 GB SSD,,,Windows 11,15.6 Pulgadas,2060859,8,256 SSD,Windows 11
https://www.exito.com/portatil-asus-vivobook-14-amd-ryzen-5-4500u-8-gb-512-gb-ssd-m413ia-eb1043w-3088077/p,ASUS,12,AMD Ryzen 5 4500U,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,1979400,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-amd-ryzen-5-5500u-8-gb-512-gb-ssd-15-ef2519la-3111529/p,HP,12,AMD Ryzen 5 5500U,8 GB,512 GB SSD,,,Windows,15.6 Pulgadas,2089450,8,512 SSD,Windows
https://www.exito.com/computador-portatil-asus-asus-intel-core-i5-1240p-8-gb-512-gb-ssd-x1502za-bq242w-3076407/p,ASUS,12,Intel Core i5-1240P,8 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,2759900,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-intel-core-i3-1115g4-8-gb-512-gb-ssd-14-dq2504la-3081372/p,HP,12,Intel Core i3-1115G4,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,1733490,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-lenovo-ideapad-3-amd-ryzen-5-5500u-8-gb-512-gb-ssd-ideapad-3-14alc6-3092843/p,LENOVO,12,AMD Ryzen 5 5500U,8 GB,512 GB SSD,,,Windows 11 Home 64 Single Language,14 Pulgadas,2099250,8,512 SSD,Windows 11
https://www.exito.com/computador-asus-intel-core-i3-1005g1-8-gb-256-gb-ssd-x415ja-ek2096w-3109898/p,ASUS,12,Intel Core i3-1005G1,8 GB,256 GB SSD,,,Windows 11 Home,14 Pulgadas,1499500,8,256 SSD,Windows 11
https://www.exito.com/computador-asus-intel-core-i5-1035g1-8-gb-1-tb-ssd-x415ja-ek2441w-3109896/p,ASUS,12,Intel Core i5-1035G1,8 GB,1 TB SSD,,,Windows 11 Home,14 Pulgadas,2079480,8,1000 SSD,Windows 11
https://www.exito.com/portatil-lenovo-pentium-n5030-14-pulgadas-8-gb-256-gb-ssd-ip-3-14igl05-3054499/p,LENOVO,12,Pentium N5030,8 GB,256 GB SSD,,,Windows 10,14 Pulgadas,1299899,8,256 SSD,Windows 10
