link,brand,warranty,processor,ram,hardDrive,grapCard,capGrapCard,opSystem,screenSize,price
https://www.exito.com/computador-portatil-hp-pavilion-intel-core-i5-1135g7-8-gb-256-gb-ssd-15-eg0500la-3094735/p,HP,1 año,Intel Core i5-1135G7,8 GB,256 GB SSD,,,Windows 11,15.6 Pulgadas,2.060.859
https://www.exito.com/computador-asus-vivobook-intel-core-i5-12500h-8-gb-512-gb-ssd-x1403za-km116w-3078718/p,ASUS,1 año,Intel Core i5-12500H,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,3.199.360
https://www.exito.com/portatil-asus-vivobook-14-amd-ryzen-5-4500u-8-gb-512-gb-ssd-m413ia-eb1043w-3088077/p,ASUS,1 año,AMD Ryzen 5 4500U,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,1.979.400
https://www.exito.com/computador-portatil-hp-amd-ryzen-5-5500u-8-gb-512-gb-ssd-15-ef2519la-3111529/p,HP,1 año,AMD Ryzen 5 5500U,8 GB,512 GB SSD,,,Windows,15.6 Pulgadas,2.089.450
https://www.exito.com/computador-portatil-asus-asus-intel-core-i5-1240p-8-gb-512-gb-ssd-x1502za-bq242w-3076407/p,ASUS,1 año,Intel Core i5-1240P,8 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,2.759.900
https://www.exito.com/computador-asus-intel-core-i5-1035g1-8-gb-1-tb-ssd-x415ja-ek2441w-3109896/p,ASUS,1 año,Intel Core i5-1035G1,8 GB,1 TB SSD,,,Windows 11 Home,14 Pulgadas,2.079.480
https://www.exito.com/computador-asus-intel-core-i3-1005g1-8-gb-256-gb-ssd-x415ja-ek2096w-3109898/p,ASUS,1 año,Intel Core i3-1005G1,8 GB,256 GB SSD,,,Windows 11 Home,14 Pulgadas,1.499.500
https://www.exito.com/computador-portatil-hp-pavilion-intel-core-i5-1135g7-8-gb-512-gb-ssd-15-eg0501la-3111527/p,HP,1 año,Intel Core i5-1135G7,8 GB,512 GB SSD,,,Windows,15.6 Pulgadas,2.713.410
https://www.exito.com/computador-portatil-hp-intel-core-i3-1115g4-8-gb-512-gb-ssd-14-dq2504la-3081372/p,HP,1 año,Intel Core i3-1115G4,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,1.733.490
https://www.exito.com/computador-portatil-lenovo-ideapad-3-amd-ryzen-5-5500u-8-gb-512-gb-ssd-ideapad-3-14alc6-3092843/p,LENOVO,1 año,AMD Ryzen 5 5500U,8 GB,512 GB SSD,,,Windows 11 Home 64 Single Language,14 Pulgadas,2.099.250
https://www.exito.com/computador-asus-intel-core-i3-1005g1-8-gb-512-gb-ssd-x415ja-ek2095w-3109900/p,ASUS,1 año,Intel Core i3-1005G1,8 GB,512 GB SSD,,,Windows 11 Home,14 Pulgadas,1.583.520
https://www.exito.com/portatil-lenovo-pentium-n5030-14-pulgadas-8-gb-256-gb-ssd-ip-3-14igl05-3054499/p,LENOVO,1 año,Pentium N5030,8 GB,256 GB SSD,,,Windows 10,14 Pulgadas,1.299.899
https://www.exito.com/computador-portatil-hp-amd-ryzen-5-5500u-16-gb-512-gb-ssd-15-ef2501la-3071591/p,HP,1 año,AMD Ryzen 5 5500U,16 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,2.878.253
https://www.exito.com/computador-portatil-asus-ryzen-5-4600h-16gb-ram-512gb-ssd-156-pulgadas-fhd-102438534-mp/p,ASUS,12 meses,Ryzen 5 4600H,16 GB,512 GB,,,Endless,14 Pulgadas,2.199.900
