link;brand;warranty;processor;ram;hardDrive;grapCard;capGrapCard;opSystem;screenSize;price
https://www.falabella.com.co/falabella-co/product/39711270/Portatil-HP-EF2518LA-15.6-pulgadas-AMD-RYZEN-R3-12GB-256GB/39711270;HP;1 año;AMD RYZEN R3;12GB;256GB;;No aplica;Windows 11 home;15.6 pulgadas;1.799.900
https://www.falabella.com.co/falabella-co/product/38290456/Portatil-Lenovo-IdeaPad-5-15.6-pulgadas-AMD-RYZEN-R5-16GB-512GB/38290456;LENOVO;1 año;AMD RYZEN R5;16GB;512GB;;No aplica;Windows 11 Home;15.6 pulgadas;3.479.900
https://www.falabella.com.co/falabella-co/product/45550123/Portatil-Lenovo-IdeaPad-3-14-Pulgadas-Core-i5-8GB-256GB-Full-HD/45550123;LENOVO;1 año;Intel Core i5;8GB;256GB;;No aplica;Windows 11 Home;14 pulgadas;1.999.900
https://www.falabella.com.co/falabella-co/product/60835699/Portatil-Lenovo-IdeaPad-3-14-pulgadas-Intel-Core-i5-8GB-256GB/60835699;LENOVO;1 Año;Intel Core i5;8GB;256GB;;No aplica;Windows 11;14 pulgadas;2.119.900
https://www.falabella.com.co/falabella-co/product/prod12160006/MacBook-Air-Chip-M1-CPU-8%C2%A0Nucleos-GPU-7-Nucleos-256GB-SSD-MGND3LA-A-13-Pulgadas/17861770;APPLE;1 año;Chip M1;8GB;256GB;;GPU 7 núcleos;macOS;13 pulgadas;5.199.900
https://www.falabella.com.co/falabella-co/product/66149284/Portatil-HP-15-ef2519la-15.6-pulgadas-AMD-RYZEN-R5-8GB-512GB-+-Accesorios/66149284;HP;1 año;AMD RYZEN R5;8GB;512GB;;No aplica;Windows 11 Home;15.6 pulgadas;2.119.900
https://www.falabella.com.co/falabella-co/product/43948892/Portatil-Gamer-Asus-TUF-A15-15.6-Pulgadas-AMD-RYZEN-R5-8GB-512GB-NVIDIA-GEFORCE%C2%A0GTX%C2%A01650/43948892;ASUS;1 año;AMD RYZEN R5;8GB;512GB;;4GB;Windows 11 Home;15.6 pulgadas;3.499.900
https://www.falabella.com.co/falabella-co/product/46611532/Portatil-Asus-Zenbook-14-Pulgadas-AMD-RYZEN-R5-16GB-512GB/46611532;ASUS;1 año;AMD RYZEN R5;16GB;512GB;;No aplica;Windows 11 Home;14 pulgadas;3.999.900
https://www.falabella.com.co/falabella-co/product/43948414/Portatil-Asus-X415JA-14-Pulgadas-Intel-Core-i5-8GB-512GB/43948414;ASUS;1 año;Intel Core i5;8GB;512GB;;No aplica;Windows 11 Home;14 pulgadas;1.999.900
https://www.falabella.com.co/falabella-co/product/53457550/Portatil-HP-Pavilion-15.6-Pulgadas-Intel-Core-i5-8GB-256GB/53457550;HP;1 año;Intel Core i5;8GB;256GB;;No aplica;Windows 11;15.6 pulgadas;2.099.900
https://www.falabella.com.co/falabella-co/product/38290454/Portatil-Lenovo-Ideapad-3-14-pulgadas-Intel-Core-i5-8GB-256GB-HD/38290454;LENOVO;1 año;Intel Core i5;8GB;256GB;;No aplica;Windows 11 Home;14 pulgadas;2.119.900
https://www.falabella.com.co/falabella-co/product/116628605/Portatil-Lenovo-V14-ARE-AMD-RYZEN-5-8GB-1TB-HDD-FREE-14%E2%80%B3-GRIS/116628606;LENOVO;12 Meses;AMD ryzen 5;8GB;1TB;Integrada;No aplica;Free dos;14;1.849.000
https://www.falabella.com.co/falabella-co/product/119607036/Portatil-lenovo-amd-ryzen-7-12gb-512gb-Ideapad-3-15%E2%80%9D-gris/119607037;LENOVO;1 año;AMD ryzen 7;12GB;512GB;AMD radeon r7 graphics;;Windows 11;15;3.199.900
https://www.falabella.com.co/falabella-co/product/60645741/Portatil-Asus-Vivobook-OLED-15.6-pulgadas-AMD-RYZEN-R5-8GB-512GB/60645741;ASUS;1 año;AMD RYZEN R5;8GB;512GB;;No aplica;Windows 11 Home;15.6 pulgadas;2.899.900
